Image,lon,lat
737.jpg,73.84,18.52
738.jpg,73.84,18.52
739.jpg,73.84,18.52
74.jpg,73.84201,18.52265
741.jpg,73.84,18.52
742.jpg,73.84,18.52
743.jpg,73.84,18.52
744.jpg,73.84,18.52
745.jpg,73.84,18.52
746.jpg,73.84,18.52
747.jpg,73.84,18.52
748.jpg,73.84,18.52
749.jpg,73.84,18.52
75.jpg,73.84201,18.52265
750.jpg,73.84979,18.52532
751.jpg,73.85275,18.5286
752.jpg,73.85275,18.5286
753.jpg,73.85275,18.5286
754.jpg,73.84994,18.52544
755.jpg,73.84991,18.52536
756.jpg,73.84991,18.52536
757.jpg,73.84991,18.52536
758.jpg,73.84991,18.52536
759.jpg,73.84991,18.52536
76.jpg,73.84201,18.52265
760.jpg,73.85006,18.52541
761.jpg,73.85006,18.52541
762.jpg,73.84871,18.525
763.jpg,73.84871,18.525
764.jpg,73.84979,18.52535
765.jpg,73.8497,18.52545
766.jpg,73.84113,18.52096
767.jpg,73.84113,18.52096
768.jpg,73.84113,18.52096
769.jpg,73.84113,18.52096
77.jpg,73.84201,18.52265
770.jpg,73.84113,18.52096
771.jpg,73.84113,18.52096
772.jpg,73.84113,18.52096
773.jpg,73.84113,18.52096
774.jpg,73.84113,18.52096
775.jpg,73.84113,18.52096
776.jpg,73.84113,18.52096
777.jpg,73.84113,18.52096
778.jpg,73.84113,18.52096
779.jpg,73.84113,18.52096
78.jpg,73.84201,18.52265
780.jpg,73.84113,18.52096
781.jpg,73.84113,18.52096
782.jpg,73.84113,18.52096
783.jpg,73.84113,18.52096
784.jpg,73.84113,18.52096
785.jpg,73.84113,18.52096
786.jpg,73.84113,18.52096
787.jpg,73.84113,18.52096
788.jpg,73.84113,18.52096
789.jpg,73.84113,18.52096
79.jpg,73.84201,18.52265
790.jpg,73.84113,18.52096
791.jpg,73.84113,18.52096
792.jpg,73.84113,18.52096
793.jpg,73.84113,18.52096
794.jpg,73.84113,18.52096
795.jpg,73.84113,18.52096
796.jpg,73.84113,18.52096
797.jpg,73.84113,18.52096
798.jpg,73.84113,18.52096
799.jpg,73.84113,18.52096
8.jpg,73.84201,18.52265
80.jpg,73.84201,18.52265
800.jpg,73.84113,18.52096
801.jpg,73.84113,18.52096
802.jpg,73.84113,18.52096
803.jpg,73.84113,18.52096
804.jpg,73.84113,18.52096
805.jpg,73.84113,18.52096
806.jpg,73.84113,18.52096
807.jpg,73.84113,18.52096
808.jpg,73.84113,18.52096
809.jpg,73.84113,18.52096
81.jpg,73.84201,18.52265
810.jpg,73.84113,18.52096
811.jpg,73.84113,18.52096
812.jpg,73.84113,18.52096
813.jpg,73.84113,18.52096
814.jpg,73.84113,18.52096
815.jpg,73.84113,18.52096
816.jpg,73.84113,18.52096
817.jpg,73.84113,18.52096
818.jpg,73.84113,18.52096
819.jpg,73.84113,18.52096
82.jpg,73.84201,18.52265
820.jpg,73.84113,18.52096
821.jpg,73.84113,18.52096
822.jpg,73.84113,18.52096
823.jpg,73.84113,18.52096
824.jpg,73.84113,18.52096
825.jpg,73.84113,18.52096
826.jpg,73.84113,18.52096
827.jpg,73.84113,18.52096
828.jpg,73.84113,18.52096
829.jpg,73.84113,18.52096
83.jpg,73.84201,18.52265
830.jpg,73.84113,18.52096
831.jpg,73.84113,18.52096
832.jpg,73.84113,18.52096
833.jpg,73.84113,18.52096
834.jpg,73.84113,18.52096
835.jpg,73.84113,18.52096
836.jpg,73.84113,18.52096
837.jpg,73.84113,18.52096
838.jpg,73.84113,18.52096
839.jpg,73.84113,18.52096
84.jpg,73.84201,18.52265
840.jpg,73.84113,18.52096
841.jpg,73.84113,18.52096
842.jpg,73.84113,18.52096
843.jpg,73.84113,18.52096
844.jpg,73.84113,18.52096
845.jpg,73.84113,18.52096
846.jpg,73.84113,18.52096
847.jpg,73.84113,18.52096
848.jpg,73.84113,18.52096
849.jpg,73.84113,18.52096
85.jpg,73.84201,18.52265
850.jpg,73.84113,18.52096
851.jpg,73.84113,18.52096
852.jpg,73.84113,18.52096
853.jpg,73.84113,18.52096
854.jpg,73.84113,18.52096
855.jpg,73.84113,18.52096
856.jpg,73.84113,18.52096
857.jpg,73.84113,18.52096
858.jpg,73.84113,18.52096
859.jpg,73.84113,18.52096
86.jpg,73.84201,18.52265
860.jpg,73.84113,18.52096
861.jpg,73.84113,18.52096
862.jpg,73.84113,18.52096
863.jpg,73.84113,18.52096
864.jpg,73.84113,18.52096
865.jpg,73.84113,18.52096
866.jpg,73.84113,18.52096
867.jpg,73.84113,18.52096
868.jpg,73.84113,18.52096
869.jpg,73.84113,18.52096
87.jpg,73.84201,18.52265
870.jpg,73.84113,18.52096
871.jpg,73.84113,18.52096
872.jpg,73.84113,18.52096
873.jpg,73.84113,18.52096
874.jpg,73.84113,18.52096
875.jpg,73.84113,18.52096
876.jpg,73.84113,18.52096
877.jpg,73.84113,18.52096
878.jpg,73.84113,18.52096
879.jpg,73.84113,18.52096
88.jpg,73.84201,18.52265
880.jpg,73.84113,18.52096
881.jpg,73.84113,18.52096
882.jpg,73.84113,18.52096
883.jpg,73.84113,18.52096
884.jpg,73.84113,18.52096
885.jpg,73.84113,18.52096
886.jpg,73.84113,18.52096
887.jpg,73.84113,18.52096
888.jpg,73.84113,18.52096
889.jpg,73.84113,18.52096
89.jpg,73.84201,18.52265
890.jpg,73.84113,18.52096
891.jpg,73.84113,18.52096
892.jpg,73.84113,18.52096
893.jpg,73.84113,18.52096
894.jpg,73.84113,18.52096
895.jpg,73.84113,18.52096
896.jpg,73.84113,18.52096
897.jpg,73.84113,18.52096
898.jpg,73.84113,18.52096
899.jpg,73.84113,18.52096
9.jpg,73.84201,18.52265
90.jpg,73.84201,18.52265
900.jpg,73.84113,18.52096
901.jpg,73.84113,18.52096
902.jpg,73.84113,18.52096
903.jpg,73.84113,18.52096
904.jpg,73.84113,18.52096
905.jpg,73.84113,18.52096
906.jpg,73.84113,18.52096
907.jpg,73.84113,18.52096
908.jpg,73.84113,18.52096
909.jpg,73.84113,18.52096
91.jpg,73.84201,18.52265
92.jpg,73.84201,18.52265
93.jpg,73.84201,18.52265
94.jpg,73.84201,18.52265
95.jpg,73.84201,18.52265
96.jpg,73.84201,18.52265
97.jpg,73.85,18.52
98.jpg,73.85,18.52
99.jpg,73.85,18.52
