Image,Latitude,Longitude
79.jpg,18.52265,73.84201
790.jpg,18.52096,73.84113
791.jpg,18.52096,73.84113
792.jpg,18.52096,73.84113
793.jpg,18.52096,73.84113
794.jpg,18.52096,73.84113
795.jpg,18.52096,73.84113
796.jpg,18.52096,73.84113
797.jpg,18.52096,73.84113
798.jpg,18.52096,73.84113
799.jpg,18.52096,73.84113
8.jpg,18.52265,73.84201
80.jpg,18.52265,73.84201
800.jpg,18.52096,73.84113
801.jpg,18.52096,73.84113
802.jpg,18.52096,73.84113
803.jpg,18.52096,73.84113
804.jpg,18.52096,73.84113
805.jpg,18.52096,73.84113
806.jpg,18.52096,73.84113
807.jpg,18.52096,73.84113
808.jpg,18.52096,73.84113
809.jpg,18.52096,73.84113
81.jpg,18.52265,73.84201
810.jpg,18.52096,73.84113
811.jpg,18.52096,73.84113
812.jpg,18.52096,73.84113
813.jpg,18.52096,73.84113
814.jpg,18.52096,73.84113
815.jpg,18.52096,73.84113
816.jpg,18.52096,73.84113
817.jpg,18.52096,73.84113
818.jpg,18.52096,73.84113
819.jpg,18.52096,73.84113
82.jpg,18.52265,73.84201
820.jpg,18.52096,73.84113
821.jpg,18.52096,73.84113
822.jpg,18.52096,73.84113
823.jpg,18.52096,73.84113
824.jpg,18.52096,73.84113
825.jpg,18.52096,73.84113
826.jpg,18.52096,73.84113
827.jpg,18.52096,73.84113
828.jpg,18.52096,73.84113
829.jpg,18.52096,73.84113
83.jpg,18.52265,73.84201
830.jpg,18.52096,73.84113
831.jpg,18.52096,73.84113
832.jpg,18.52096,73.84113
833.jpg,18.52096,73.84113
834.jpg,18.52096,73.84113
835.jpg,18.52096,73.84113
836.jpg,18.52096,73.84113
837.jpg,18.52096,73.84113
838.jpg,18.52096,73.84113
839.jpg,18.52096,73.84113
84.jpg,18.52265,73.84201
840.jpg,18.52096,73.84113
841.jpg,18.52096,73.84113
842.jpg,18.52096,73.84113
843.jpg,18.52096,73.84113
844.jpg,18.52096,73.84113
845.jpg,18.52096,73.84113
846.jpg,18.52096,73.84113
847.jpg,18.52096,73.84113
848.jpg,18.52096,73.84113
849.jpg,18.52096,73.84113
85.jpg,18.52265,73.84201
850.jpg,18.52096,73.84113
851.jpg,18.52096,73.84113
852.jpg,18.52096,73.84113
853.jpg,18.52096,73.84113
854.jpg,18.52096,73.84113
855.jpg,18.52096,73.84113
856.jpg,18.52096,73.84113
857.jpg,18.52096,73.84113
858.jpg,18.52096,73.84113
859.jpg,18.52096,73.84113
86.jpg,18.52265,73.84201
860.jpg,18.52096,73.84113
861.jpg,18.52096,73.84113
862.jpg,18.52096,73.84113
863.jpg,18.52096,73.84113
864.jpg,18.52096,73.84113
865.jpg,18.52096,73.84113
866.jpg,18.52096,73.84113
867.jpg,18.52096,73.84113
868.jpg,18.52096,73.84113
869.jpg,18.52096,73.84113
87.jpg,18.52265,73.84201
870.jpg,18.52096,73.84113
871.jpg,18.52096,73.84113
872.jpg,18.52096,73.84113
873.jpg,18.52096,73.84113
874.jpg,18.52096,73.84113
875.jpg,18.52096,73.84113
876.jpg,18.52096,73.84113
877.jpg,18.52096,73.84113
878.jpg,18.52096,73.84113
879.jpg,18.52096,73.84113
88.jpg,18.52265,73.84201
880.jpg,18.52096,73.84113
881.jpg,18.52096,73.84113
882.jpg,18.52096,73.84113
883.jpg,18.52096,73.84113
884.jpg,18.52096,73.84113
885.jpg,18.52096,73.84113
886.jpg,18.52096,73.84113
887.jpg,18.52096,73.84113
888.jpg,18.52096,73.84113
889.jpg,18.52096,73.84113
89.jpg,18.52265,73.84201
890.jpg,18.52096,73.84113
891.jpg,18.52096,73.84113
892.jpg,18.52096,73.84113
893.jpg,18.52096,73.84113
894.jpg,18.52096,73.84113
895.jpg,18.52096,73.84113
896.jpg,18.52096,73.84113
897.jpg,18.52096,73.84113
898.jpg,18.52096,73.84113
899.jpg,18.52096,73.84113
9.jpg,18.52265,73.84201
90.jpg,18.52265,73.84201
900.jpg,18.52096,73.84113
901.jpg,18.52096,73.84113
902.jpg,18.52096,73.84113
903.jpg,18.52096,73.84113
904.jpg,18.52096,73.84113
905.jpg,18.52096,73.84113
906.jpg,18.52096,73.84113
907.jpg,18.52096,73.84113
908.jpg,18.52096,73.84113
909.jpg,18.52096,73.84113
91.jpg,18.52265,73.84201
92.jpg,18.52265,73.84201
93.jpg,18.52265,73.84201
94.jpg,18.52265,73.84201
95.jpg,18.52265,73.84201
96.jpg,18.52265,73.84201
97.jpg,18.52,73.85
98.jpg,18.52,73.85
99.jpg,18.52,73.85
